z_pos,x_pos,y_pos,time,flux,err_byte
0.000,76.200,0.000,0.250,27814.000,5.561
0.000,76.200,0.000,0.500,27814.000,5.811
0.000,76.200,0.000,0.750,27815.000,6.061
0.000,76.200,0.000,1.000,27814.000,6.311
0.000,76.200,0.000,1.250,27814.000,6.561
0.000,76.200,0.000,1.500,27815.000,6.811
0.000,76.200,0.000,1.750,27815.000,7.060
0.000,76.200,0.000,2.000,27814.000,7.312
0.000,76.200,0.000,2.250,27814.000,7.561
0.000,76.200,0.000,2.500,27814.000,7.812
0.000,76.200,0.000,2.750,27815.000,8.061
0.000,76.200,0.000,3.000,27815.000,8.310
0.000,76.200,0.000,3.250,27815.000,8.559
0.000,76.200,0.000,3.500,27815.000,8.808
0.000,76.200,0.000,3.750,27638.000,9.057
0.000,76.200,0.000,4.000,26310.000,9.308
0.000,76.200,0.000,4.250,26310.000,9.558
0.000,76.200,0.000,4.500,24727.000,9.809
0.000,76.200,0.000,4.750,24727.000,10.059
0.000,76.200,0.000,5.000,23152.000,10.309
0.000,76.200,0.000,5.250,21604.000,10.558
0.000,76.200,0.000,5.500,21604.000,10.808
0.000,76.200,0.000,5.750,20107.000,11.058
0.000,76.200,0.000,6.000,20107.000,11.307
0.000,76.200,0.000,6.250,18683.000,11.556
0.000,76.200,0.000,6.500,1733.000,11.808
0.000,76.200,0.000,6.750,1733.000,12.057
0.000,76.200,0.000,7.000,15892.600,12.307
0.000,76.200,0.000,7.250,15892.600,12.558
0.000,76.200,0.000,7.500,14699.700,12.809
0.000,76.200,0.000,7.750,13584.200,13.059
0.000,76.200,0.000,8.000,13584.200,13.309
0.000,76.200,0.000,8.250,12540.800,13.559
0.000,76.200,0.000,8.500,12540.800,13.809
0.000,76.200,0.000,8.750,11576.900,14.058
0.000,76.200,0.000,9.000,11576.900,14.308
0.000,76.200,0.000,9.250,10687.100,14.558
0.000,76.200,0.000,9.500,9870.300,14.808
0.000,76.200,0.000,9.750,9870.300,15.058
0.000,76.200,0.000,10.000,9118.900,15.309
0.000,76.200,0.000,10.250,9118.900,15.558
0.000,76.200,0.000,10.500,8427.700,15.808
0.000,76.200,0.000,10.750,7793.200,16.058
0.000,76.200,0.000,11.000,7793.200,16.310
0.000,76.200,0.000,11.250,7213.400,16.560
0.000,76.200,0.000,11.500,7213.400,16.809
0.000,76.200,0.000,11.750,6679.900,17.059
0.000,76.200,0.000,12.000,6192.800,17.309
0.000,76.200,0.000,12.250,6192.800,17.558
0.000,76.200,0.000,12.500,5743.300,17.809
0.000,76.200,0.000,12.750,5743.300,18.059
0.000,76.200,0.000,13.000,5331.100,18.308
0.000,76.200,0.000,13.250,4952.200,18.557
0.000,76.200,0.000,13.500,4952.200,18.807
0.000,76.200,0.000,13.750,4604.000,19.058
0.000,76.200,0.000,14.000,4604.000,19.307
0.000,76.200,0.000,14.250,4283.800,19.557
0.000,76.200,0.000,14.500,4283.800,19.807
0.000,76.200,0.000,14.750,3987.500,20.058
0.000,76.200,0.000,15.000,3714.400,20.308
0.000,76.200,0.000,15.250,3714.400,20.558
