rod_id	position	measurement_index	point_index	value
Rod2	endN1	9	10	0.01827
Rod2	endN1	9	11	0.02025
Rod2	endN1	9	12	0.02173
Rod2	endN1	9	13	0.02353
Rod2	endN1	9	14	0.02534
Rod2	endN1	9	15	0.02666
Rod2	endN1	10	0	0.00052
Rod2	endN1	10	1	0.00233
Rod2	endN1	10	2	0.00414
Rod2	endN1	10	3	0.00578
Rod2	endN1	10	4	0.00759
Rod2	endN1	10	5	0.01038
Rod2	endN1	10	6	0.01219
Rod2	endN1	10	7	0.014
Rod2	endN1	10	8	0.01531
Rod2	endN1	10	9	0.01696
Rod2	endN1	10	10	0.01877
Rod2	endN1	10	11	0.02025
Rod2	endN1	10	12	0.02205
Rod2	endN1	10	13	0.0237
Rod2	endN1	10	14	0.02518
Rod2	endN1	10	15	0.02682
Rod2	endN1	11	0	0.00052
Rod2	endN1	11	1	0.00216
Rod2	endN1	11	2	0.0043
Rod2	endN1	11	3	0.00578
Rod2	endN1	11	4	0.00759
Rod2	endN1	11	5	0.01071
Rod2	endN1	11	6	0.01219
Rod2	endN1	11	7	0.01384
Rod2	endN1	11	8	0.01548
Rod2	endN1	11	9	0.01696
Rod2	endN1	11	10	0.01844
Rod2	endN1	11	11	0.02041
Rod2	endN1	11	12	0.02189
Rod2	endN1	11	13	0.02353
Rod2	endN1	11	14	0.02518
Rod2	endN1	11	15	0.02649
Rod2	endN1	12	0	0.00052
Rod2	endN1	12	1	0.00249
Rod2	endN1	12	2	0.00414
Rod2	endN1	12	3	0.00578
Rod2	endN1	12	4	0.00742
Rod2	endN1	12	5	0.01055
Rod2	endN1	12	6	0.01219
Rod2	endN1	12	7	0.01384
Rod2	endN1	12	8	0.01548
Rod2	endN1	12	9	0.01696
Rod2	endN1	12	10	0.01827
Rod2	endN1	12	11	0.02041
Rod2	endN1	12	12	0.02205
Rod2	endN1	12	13	0.0237
Rod2	endN1	12	14	0.02534
Rod2	endN1	12	15	0.02682
Rod2	endN1	13	0	0.00052
Rod2	endN1	13	1	0.00266
Rod2	endN1	13	2	0.00397
Rod2	endN1	13	3	0.00594
Rod2	endN1	13	4	0.00742
Rod2	endN1	13	5	0.01055
Rod2	endN1	13	6	0.01219
Rod2	endN1	13	7	0.01384
Rod2	endN1	13	8	0.01531
Rod2	endN1	13	9	0.01712
Rod2	endN1	13	10	0.0186
Rod2	endN1	13	11	0.02041
Rod2	endN1	13	12	0.02222
Rod2	endN1	13	13	0.02353
Rod2	endN1	13	14	0.02518
Rod2	endN1	13	15	0.02649
