rod_id,trial,measurement_index,point_index,value
Rod3,N1,0,0,-0.00129
Rod3,N1,0,1,-0.02068
Rod3,N1,0,2,-0.02184
Rod3,N1,0,3,-0.02496
Rod3,N1,0,4,-0.0271
Rod3,N1,0,5,-0.02857
Rod3,N1,0,6,-0.03466
Rod3,N1,1,0,-0.00129
Rod3,N1,1,1,-0.02036
Rod3,N1,1,2,-0.02184
Rod3,N1,1,3,-0.02512
Rod3,N1,1,4,-0.02726
Rod3,N1,1,5,-0.02841
Rod3,N1,1,6,-0.03449
Rod3,N1,2,0,-0.00129
Rod3,N1,2,1,-0.02052
Rod3,N1,2,2,-0.02184
Rod3,N1,2,3,-0.02496
Rod3,N1,2,4,-0.02742
Rod3,N1,2,5,-0.02857
Rod3,N1,2,6,-0.03466
Rod3,N1,3,0,-0.00129
Rod3,N1,3,1,-0.02052
Rod3,N1,3,2,-0.02167
Rod3,N1,3,3,-0.02496
Rod3,N1,3,4,-0.02726
Rod3,N1,3,5,-0.02857
Rod3,N1,3,6,-0.03466
Rod3,N1,4,0,-0.00129
Rod3,N1,4,1,-0.02052
Rod3,N1,4,2,-0.022
Rod3,N1,4,3,-0.02496
Rod3,N1,4,4,-0.02742
Rod3,N1,4,5,-0.02857
Rod3,N1,4,6,-0.03449
Rod3,N1,5,0,-0.00112
Rod3,N1,5,1,-0.02036
Rod3,N1,5,2,-0.022
Rod3,N1,5,3,-0.02496
Rod3,N1,5,4,-0.02726
Rod3,N1,5,5,-0.02857
Rod3,N1,5,6,-0.03449
Rod3,N1,6,0,-0.00129
Rod3,N1,6,1,-0.02052
Rod3,N1,6,2,-0.02184
Rod3,N1,6,3,-0.02512
Rod3,N1,6,4,-0.02759
Rod3,N1,6,5,-0.02841
Rod3,N1,6,6,-0.03466
Rod3,N1,7,0,-0.00129
Rod3,N1,7,1,-0.02019
Rod3,N1,7,2,-0.02184
Rod3,N1,7,3,-0.02479
Rod3,N1,7,4,-0.02726
Rod3,N1,7,5,-0.02857
Rod3,N1,7,6,-0.03449
Rod3,N1,8,0,-0.00112
Rod3,N1,8,1,-0.02036
Rod3,N1,8,2,-0.022
Rod3,N1,8,3,-0.02479
Rod3,N1,8,4,-0.02759
Rod3,N1,8,5,-0.02874
Rod3,N1,8,6,-0.03449
Rod3,N1,9,0,-0.00129
Rod3,N1,9,1,-0.02036
Rod3,N1,9,2,-0.022
Rod3,N1,9,3,-0.02496
Rod3,N1,9,4,-0.02742
Rod3,N1,9,5,-0.02874
Rod3,N1,9,6,-0.03449
Rod3,N1,10,0,-0.00112
Rod3,N1,10,1,-0.02036
Rod3,N1,10,2,-0.02184
Rod3,N1,10,3,-0.02496
Rod3,N1,10,4,-0.02775
Rod3,N1,10,5,-0.02874
Rod3,N1,10,6,-0.03482
Rod3,N1,11,0,-0.00112
Rod3,N1,11,1,-0.02036
Rod3,N1,11,2,-0.022
Rod3,N1,11,3,-0.02496
Rod3,N1,11,4,-0.02742
Rod3,N1,11,5,-0.02874
Rod3,N1,11,6,-0.03433
Rod3,N1,12,0,-0.00112
Rod3,N1,12,1,-0.02052
Rod3,N1,12,2,-0.022
Rod3,N1,12,3,-0.02496
Rod3,N1,12,4,-0.02742
Rod3,N1,12,5,-0.02857
Rod3,N1,12,6,-0.03466
Rod3,N1,13,0,-0.00129
Rod3,N1,13,1,-0.02052
Rod3,N1,13,2,-0.02167
Rod3,N1,13,3,-0.02512
Rod3,N1,13,4,-0.02742
Rod3,N1,13,5,-0.02857
Rod3,N1,13,6,-0.03466
Rod3,N1,14,0,-0.00096
Rod3,N1,14,1,-0.02052
Rod3,N1,14,2,-0.02184
Rod3,N1,14,3,-0.02496
Rod3,N1,14,4,-0.02726
Rod3,N1,14,5,-0.02857
Rod3,N1,14,6,-0.03466
Rod3,N1,15,0,-0.00129
Rod3,N1,15,1,-0.02019
Rod3,N1,15,2,-0.02216
Rod3,N1,15,3,-0.02512
Rod3,N1,15,4,-0.02726
Rod3,N1,15,5,-0.02857
Rod3,N1,15,6,-0.03466
Rod3,N1,16,0,-0.00112
Rod3,N1,16,1,-0.02036
Rod3,N1,16,2,-0.02184
Rod3,N1,16,3,-0.02479
Rod3,N1,16,4,-0.02742
Rod3,N1,16,5,-0.02857
Rod3,N1,16,6,-0.03449
Rod3,N1,17,0,-0.00145
Rod3,N1,17,1,-0.02036
Rod3,N1,17,2,-0.02184
Rod3,N1,17,3,-0.02496
Rod3,N1,17,4,-0.02742
Rod3,N1,17,5,-0.02857
Rod3,N1,17,6,-0.03449
Rod3,N1,18,0,-0.00145
Rod3,N1,18,1,-0.02036
Rod3,N1,18,2,-0.022
Rod3,N1,18,3,-0.02496
Rod3,N1,18,4,-0.02759
Rod3,N1,18,5,-0.02857
Rod3,N1,18,6,-0.03466
Rod3,N1,19,0,-0.00145
Rod3,N1,19,1,-0.02036
Rod3,N1,19,2,-0.022
Rod3,N1,19,3,-0.02479
Rod3,N1,19,4,-0.02742
Rod3,N1,19,5,-0.02841
Rod3,N1,19,6,-0.03433
Rod3,N1,20,0,-0.00129
Rod3,N1,20,1,-0.02019
Rod3,N1,20,2,-0.022
Rod3,N1,20,3,-0.02479
Rod3,N1,20,4,-0.02742
Rod3,N1,20,5,-0.02825
Rod3,N1,20,6,-0.03466
Rod3,N1,21,0,-0.00145
Rod3,N1,21,1,-0.02036
Rod3,N1,21,2,-0.02184
Rod3,N1,21,3,-0.02496
Rod3,N1,21,4,-0.02742
Rod3,N1,21,5,-0.02841
Rod3,N1,21,6,-0.03466
Rod3,N1,22,0,-0.00129
Rod3,N1,22,1,-0.02036
Rod3,N1,22,2,-0.02184
Rod3,N1,22,3,-0.02512
Rod3,N1,22,4,-0.02742
Rod3,N1,22,5,-0.02857
Rod3,N1,22,6,-0.03466
Rod3,N1,23,0,-0.00112
Rod3,N1,23,1,-0.02036
Rod3,N1,23,2,-0.022
Rod3,N1,23,3,-0.02496
Rod3,N1,23,4,-0.02742
Rod3,N1,23,5,-0.02874
Rod3,N1,23,6,-0.03466
Rod3,N1,24,0,-0.00079
Rod3,N1,24,1,-0.02036
Rod3,N1,24,2,-0.02184
Rod3,N1,24,3,-0.02479
Rod3,N1,24,4,-0.02726
Rod3,N1,24,5,-0.02841
Rod3,N1,24,6,-0.03449
Rod3,N1,25,0,-0.00112
Rod3,N1,25,1,-0.02036
Rod3,N1,25,2,-0.022
Rod3,N1,25,3,-0.02512
Rod3,N1,25,4,-0.02742
Rod3,N1,25,5,-0.02841
Rod3,N1,25,6,-0.03466
Rod3,N1,26,0,-0.00129
Rod3,N1,26,1,-0.02036
Rod3,N1,26,2,-0.022
Rod3,N1,26,3,-0.02512
Rod3,N1,26,4,-0.02726
Rod3,N1,26,5,-0.02841
Rod3,N1,26,6,-0.03449
Rod3,N1,27,0,-0.00112
Rod3,N1,27,1,-0.02036
Rod3,N1,27,2,-0.02184
Rod3,N1,27,3,-0.02496
Rod3,N1,27,4,-0.02726
Rod3,N1,27,5,-0.02857
Rod3,N1,27,6,-0.03466
Rod3,N1,28,0,-0.00112
Rod3,N1,28,1,-0.02052
Rod3,N1,28,2,-0.022
Rod3,N1,28,3,-0.02479
Rod3,N1,28,4,-0.02726
Rod3,N1,28,5,-0.02857
Rod3,N1,28,6,-0.03449
Rod3,N1,29,0,-0.00129
Rod3,N1,29,1,-0.02019
Rod3,N1,29,2,-0.02184
Rod3,N1,29,3,-0.02496
Rod3,N1,29,4,-0.02742
Rod3,N1,29,5,-0.02857
Rod3,N1,29,6,-0.03449
Rod3,N1,30,0,-0.00112
Rod3,N1,30,1,-0.02036
Rod3,N1,30,2,-0.022
Rod3,N1,30,3,-0.02496
Rod3,N1,30,4,-0.02742
Rod3,N1,30,5,-0.02874
Rod3,N1,30,6,-0.03466
Rod3,N1,31,0,-0.00112
Rod3,N1,31,1,-0.02019
Rod3,N1,31,2,-0.022
Rod3,N1,31,3,-0.02512
Rod3,N1,31,4,-0.02742
Rod3,N1,31,5,-0.02841
Rod3,N1,31,6,-0.03466
Rod3,N1,32,0,-0.00129
Rod3,N1,32,1,-0.02036
Rod3,N1,32,2,-0.022
Rod3,N1,32,3,-0.02479
Rod3,N1,32,4,-0.02759
Rod3,N1,32,5,-0.02857
Rod3,N1,32,6,-0.03449
Rod3,N1,33,0,-0.00129
Rod3,N1,33,1,-0.02036
Rod3,N1,33,2,-0.02184
Rod3,N1,33,3,-0.02512
Rod3,N1,33,4,-0.02742
Rod3,N1,33,5,-0.02857
Rod3,N1,33,6,-0.03466
Rod3,N1,34,0,-0.00112
Rod3,N1,34,1,-0.02036
Rod3,N1,34,2,-0.02184
Rod3,N1,34,3,-0.02496
Rod3,N1,34,4,-0.02759
Rod3,N1,34,5,-0.02841
Rod3,N1,34,6,-0.03466
Rod3,N1,35,0,-0.00145
Rod3,N1,35,1,-0.02036
