rod_id,position,angle,measurement_index,point_index,value
Rod3,endN3,0,4,9,0.00167
Rod3,endN3,0,4,10,0.00167
Rod3,endN3,0,4,11,0.00233
Rod3,endN3,0,4,12,0.00266
Rod3,endN3,0,4,13,0.00299
Rod3,endN3,0,4,14,0.00331
Rod3,endN3,0,4,15,0.00364
Rod3,endN3,0,4,16,0.00414
Rod3,endN3,0,4,17,0.00447
Rod3,endN3,0,4,18,0.00512
Rod3,endN3,0,4,19,0.00529
Rod3,endN3,0,4,20,0.0071
Rod3,endN3,0,4,21,0.00923
Rod3,endN3,0,4,22,0.01055
Rod3,endN3,0,4,23,0.01252
Rod3,endN3,0,4,24,0.01416
Rod3,endN3,0,4,25,0.01597
Rod3,endN3,0,4,26,0.01762
Rod3,endN3,0,4,27,0.01959
Rod3,endN3,0,4,28,0.02173
Rod3,endN3,0,4,29,0.02304
Rod3,endN3,0,4,30,0.02468
Rod3,endN3,0,4,31,0.02666
Rod3,endN3,0,5,0,-0.00096
Rod3,endN3,0,5,1,-0.00129
Rod3,endN3,0,5,2,-0.00063
Rod3,endN3,0,5,3,-0.00063
Rod3,endN3,0,5,4,-0.00047
Rod3,endN3,0,5,5,0.00019
Rod3,endN3,0,5,6,0.00068
Rod3,endN3,0,5,7,0.00085
Rod3,endN3,0,5,8,0.00134
Rod3,endN3,0,5,9,0.00167
Rod3,endN3,0,5,10,0.00167
Rod3,endN3,0,5,11,0.00249
Rod3,endN3,0,5,12,0.00266
Rod3,endN3,0,5,13,0.00299
Rod3,endN3,0,5,14,0.00331
Rod3,endN3,0,5,15,0.00381
Rod3,endN3,0,5,16,0.0043
Rod3,endN3,0,5,17,0.00479
Rod3,endN3,0,5,18,0.00479
Rod3,endN3,0,5,19,0.00529
Rod3,endN3,0,5,20,0.00726
Rod3,endN3,0,5,21,0.00907
Rod3,endN3,0,5,22,0.01055
Rod3,endN3,0,5,23,0.01252
Rod3,endN3,0,5,24,0.01433
Rod3,endN3,0,5,25,0.01597
Rod3,endN3,0,5,26,0.01778
Rod3,endN3,0,5,27,0.01942
Rod3,endN3,0,5,28,0.0214
Rod3,endN3,0,5,29,0.02304
Rod3,endN3,0,5,30,0.02468
Rod3,endN3,0,5,31,0.02666
Rod3,endN3,0,6,0,-0.00129
Rod3,endN3,0,6,1,-0.00129
Rod3,endN3,0,6,2,-0.00079
Rod3,endN3,0,6,3,-0.00063
Rod3,endN3,0,6,4,-0.00047
Rod3,endN3,0,6,5,0.00036
Rod3,endN3,0,6,6,0.00052
Rod3,endN3,0,6,7,0.00085
Rod3,endN3,0,6,8,0.00118
Rod3,endN3,0,6,9,0.00184
Rod3,endN3,0,6,10,0.00184
Rod3,endN3,0,6,11,0.00249
Rod3,endN3,0,6,12,0.00266
Rod3,endN3,0,6,13,0.00315
Rod3,endN3,0,6,14,0.00331
Rod3,endN3,0,6,15,0.00364
Rod3,endN3,0,6,16,0.00414
Rod3,endN3,0,6,17,0.00447
Rod3,endN3,0,6,18,0.00479
Rod3,endN3,0,6,19,0.00512
Rod3,endN3,0,6,20,0.0071
Rod3,endN3,0,6,21,0.00923
Rod3,endN3,0,6,22,0.01055
