-0.09679,-0.09597,-0.09400,-0.09334,-0.09022
-0.09696,-0.09597,-0.09400,-0.09334,-0.09055
-0.09696,-0.09597,-0.09416,-0.09318,-0.09038
-0.09696,-0.09597,-0.09416,-0.09334,-0.09071
-0.09679,-0.09597,-0.09383,-0.09334,-0.09087
-0.09679,-0.09581,-0.09400,-0.09334,-0.09055
-0.09663,-0.09597,-0.09433,-0.09334,-0.09055
-0.09663,-0.09613,-0.09400,-0.09350,-0.09071
-0.09663,-0.09613,-0.09416,-0.09334,-0.09038
-0.09679,-0.09581,-0.09400,-0.09350,-0.09038
-0.09663,-0.09581,-0.09400,-0.09350,-0.09055
-0.09630,-0.09597,-0.09416,-0.09367,-0.09055
-0.09679,-0.09597,-0.09400,-0.09334,-0.09038
-0.09663,-0.09613,-0.09416,-0.09334,-0.09038
-0.09679,-0.09597,-0.09400,-0.09318,-0.09022
-0.09679,-0.09581,-0.09400,-0.09318,-0.09055
-0.09646,-0.09597,-0.09400,-0.09334,-0.09055
-0.09679,-0.09597,-0.09416,-0.09334,-0.09055
-0.09679,-0.09597,-0.09400,-0.09318,-0.09055
-0.09696,-0.09613,-0.09383,-0.09318,-0.09038
-0.09679,-0.09613,-0.09383,-0.09334,-0.09071
-0.09679,-0.09597,-0.09416,-0.09334,-0.09022
-0.09679,-0.09597,-0.09383,-0.09334,-0.09055
-0.09679,-0.09581,-0.09400,-0.09334,-0.09038
-0.09679,-0.09613,-0.09400,-0.09318,-0.09071
-0.09663,-0.09597,-0.09400,-0.09334,-0.09055
-0.09679,-0.09597,-0.09400,-0.09318,-0.09055
-0.09679,-0.09630,-0.09367,-0.09367,-0.09038
-0.09663,-0.09597,-0.09400,-0.09334,-0.09071
-0.09696,-0.09597,-0.09400,-0.09334,-0.09055
-0.09663,-0.09581,-0.09400,-0.09334,-0.09055
-0.09663,-0.09581,-0.09416,-0.09318,-0.09055
-0.09663,-0.09581,-0.09416,-0.09301,-0.09071
-0.09663,-0.09597,-0.09400,-0.09367,-0.09038
-0.09679,-0.09597,-0.09383,-0.09350,-0.09055
-0.09696,-0.09613,-0.09416,-0.09350,-0.09055
-0.09679,-0.09597,-0.09433,-0.09350,-0.09055
-0.09663,-0.09613,-0.09449,-0.09318,-0.09055
-0.09679,-0.09613,-0.09383,-0.09334,-0.09071
-0.09679,-0.09581,-0.09416,-0.09334,-0.09038
-0.09663,-0.09613,-0.09416,-0.09301,-0.09087
-0.09696,-0.09581,-0.09383,-0.09350,-0.09055
-0.09679,-0.09597,-0.09400,-0.09350,-0.09038
-0.09679,-0.09597,-0.09416,-0.09334,-0.09038
-0.09663,-0.09613,-0.09400,-0.09350,-0.09071
-0.09679,-0.09597,-0.09400,-0.09334,-0.09038
-0.09679,-0.09597,-0.09383,-0.09318,-0.09055
-0.09679,-0.09613,-0.09400,-0.09334,-0.09055
-0.09679,-0.09564,-0.09400,-0.09318,-0.09038
-0.09679,-0.09581,-0.09400,-0.09350,-0.09055
-0.09679,-0.09597,-0.09383,-0.09334,-0.09038
-0.09679,-0.09597,-0.09433,-0.09318,-0.09071
-0.09646,-0.09597,-0.09400,-0.09367,-0.09055
-0.09679,-0.09613,-0.09400,-0.09334,-0.09038
-0.09679,-0.09646,-0.09400,-0.09334,-0.09071
-0.09646,-0.09597,-0.09416,-0.09334,-0.09038
-0.09679,-0.09630,-0.09416,-0.09318,-0.09071
-0.09663,-0.09597,-0.09400,-0.09334,-0.09055
-0.09663,-0.09613,-0.09400,-0.09350,-0.09038
-0.09663,-0.09613,-0.09416,-0.09334,-0.09071
-0.09696,-0.09597,-0.09400,-0.09350,-0.09055
-0.09679,-0.09597,-0.09400,-0.09334,-0.09071
-0.09663,-0.09597,-0.09416,-0.09318,-0.09055
-0.09679,-0.09597,-0.09416,-0.09334,-0.09055
-0.09663,-0.09581,-0.09400,-0.09318,-0.09055
-0.09663,-0.09613,-0.09400,-0.09318,-0.09055
-0.09646,-0.09613,-0.09416,-0.09318,-0.09038
-0.09679,-0.09597,-0.09400,-0.09334,-0.09038
-0.09663,-0.09581,-0.09383,-0.09318,-0.09038
-0.09663,-0.09613,-0.09400,-0.09334,-0.09038
