-0.00688,-0.00737,-0.00786,-0.00951,-0.01312,-0.01394,-0.01888
-0.00688,-0.00753,-0.00786,-0.00934,-0.01296,-0.01394,-0.01888
-0.00721,-0.00753,-0.00803,-0.00967,-0.01312,-0.01394,-0.01921
-0.00721,-0.00753,-0.00786,-0.00951,-0.01329,-0.01411,-0.01921
-0.00721,-0.00721,-0.00786,-0.00918,-0.01296,-0.01378,-0.01871
-0.00704,-0.00753,-0.00786,-0.00951,-0.01329,-0.01411,-0.01888
-0.00688,-0.00753,-0.00803,-0.00967,-0.01329,-0.01411,-0.01871
-0.00688,-0.00737,-0.00786,-0.00951,-0.01312,-0.01394,-0.01888
-0.00688,-0.00770,-0.00819,-0.00951,-0.01312,-0.01411,-0.01888
-0.00688,-0.00737,-0.00803,-0.00934,-0.01329,-0.01411,-0.01871
-0.00737,-0.00737,-0.00786,-0.00951,-0.01329,-0.01378,-0.01871
-0.00704,-0.00737,-0.00786,-0.00967,-0.01312,-0.01411,-0.01888
-0.00704,-0.00737,-0.00786,-0.00967,-0.01312,-0.01378,-0.01888
-0.00721,-0.00737,-0.00819,-0.00951,-0.01345,-0.01411,-0.01904
-0.00688,-0.00721,-0.00786,-0.00967,-0.01329,-0.01394,-0.01888
-0.00704,-0.00753,-0.00786,-0.00951,-0.01296,-0.01411,-0.01904
-0.00721,-0.00753,-0.00803,-0.00951,-0.01329,-0.01378,-0.01888
-0.00704,-0.00753,-0.00770,-0.00951,-0.01329,-0.01394,-0.01904
-0.00688,-0.00721,-0.00819,-0.00951,-0.01329,-0.01362,-0.01904
-0.00721,-0.00737,-0.00786,-0.00951,-0.01312,-0.01394,-0.01904
-0.00704,-0.00737,-0.00803,-0.00967,-0.01329,-0.01411,-0.01871
-0.00721,-0.00737,-0.00803,-0.00967,-0.01312,-0.01394,-0.01888
-0.00721,-0.00753,-0.00786,-0.00967,-0.01329,-0.01394,-0.01871
-0.00704,-0.00737,-0.00786,-0.00951,-0.01329,-0.01394,-0.01888
-0.00721,-0.00737,-0.00786,-0.00967,-0.01312,-0.01394,-0.01888
-0.00704,-0.00753,-0.00770,-0.00967,-0.01312,-0.01411,-0.01904
-0.00721,-0.00737,-0.00803,-0.00967,-0.01312,-0.01378,-0.01888
-0.00704,-0.00737,-0.00803,-0.00951,-0.01312,-0.01394,-0.01904
-0.00688,-0.00721,-0.00803,-0.00967,-0.01345,-0.01411,-0.01888
-0.00688,-0.00737,-0.00786,-0.00951,-0.01329,-0.01394,-0.01888
-0.00721,-0.00770,-0.00803,-0.00967,-0.01296,-0.01394,-0.01871
-0.00704,-0.00721,-0.00803,-0.00967,-0.01329,-0.01378,-0.01888
-0.00721,-0.00753,-0.00786,-0.00984,-0.01329,-0.01378,-0.01888
-0.00688,-0.00753,-0.00803,-0.00984,-0.01329,-0.01378,-0.01888
