z_pos	x_pos	y_pos	time	flux	err_byte	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
210.0	0	0	1.0	115.5	6.559				
210.3	0	0	1.25	115.5	6.683				
210.6	0	0	1.375	115.5	6.898				
210.9	0	0	1.5	115.5	7.027				
211.2	0	0	1.625	115.5	7.148				
211.5	0	0	1.75	115.5	7.263				
211.8	0	0	1.875	115.5	7.39				
212.1	0	0	2.0	115.4	7.52				
212.4	0	0	2.25	115.4	7.647				
212.7	0	0	2.375	115.4	7.902				
213.0	0	0	2.5	115.4	8.013				
213.3	0	0	2.625	115.4	8.185				
213.6	0	0	2.75	115.4	8.284				
213.9	0	0	2.875	115.3	8.399				
214.2	0	0	3.0	115.3	8.529				
214.5	0	0	3.25	115.2	8.66				
214.8	0	0	3.375	115.2	8.903				
215.1	0	0	3.5	115.2	9.018				
215.4	0	0	3.625	115.2	9.151				
215.7	0	0	3.75	115.4	9.256				
216.0	0	0	3.875	115.4	9.408				
216.3	0	0	4.0	115.2	9.519				
216.6	0	0	4.25	115.9	9.646				
216.9	0	0	4.375	115.9	9.888				
217.2	0	0	4.5	115.9	10.018				
217.5	0	0	4.625	116.4	10.146				
217.8	0	0	4.75	116.4	10.263				
218.1	0	0	4.875	116.4	10.399				
218.4	0	0	5.0	116.2	10.535				
218.7	0	0	5.25	116.9	10.642				
219.0	0	0	5.375	116.9	10.887				
219.3	0	0	5.5	117.3	11.024				
219.6	0	0	5.625	117.3	11.155				
219.9	0	0	5.75	117.3	11.256				
220.2	0	0	5.875	117.8	11.395				
220.5	0	0	6.0	117.3	11.522				
220.8	0	0	6.25	118.4	11.649				
221.1	0	0	6.375	118.4	11.899				
221.4	0	0	6.5	118.4	12.008				
221.7	0	0	6.625	118.4	12.143				
222.0	0	0	6.75	118.9	12.265				
222.3	0	0	6.875	118.9	12.397				
222.6	0	0	7.0	118.6	12.527				
222.9	0	0	7.25	119.5	12.637				
223.2	0	0	7.375	119.5	12.882				
223.5	0	0	7.5	119.5	13.019				
223.8	0	0	7.625	120.1	13.149				
224.1	0	0	7.75	120.1	13.255				
224.4	0	0	7.875	120.1	13.396				
224.7	0	0	8.0	119.9	13.514				
225.0	0	0	8.25	120.7	13.643				
225.3	0	0	8.375	120.7	13.955				
225.6	0	0	8.5	121.3	14.056				
225.9	0	0	8.625	121.3	14.156				
226.2	0	0	8.75	121.3	14.266				
226.5	0	0	8.875	121.8	14.399				
226.8	0	0	9.0	121.2	14.529				
227.1	0	0	9.25	121.8	14.635				
227.4	0	0	9.375	122.6	14.885				
227.7	0	0	9.5	122.6	15.024				
228.0	0	0	9.625	122.6	15.148				
228.3	0	0	9.75	123.2	15.274				
228.6	0	0	9.875	123.2	15.387				
228.9	0	0	10.0	122.7	15.52				
229.2	0	0	10.25	123.7	15.647				
