z_pos	x_pos	y_pos	time	flux	err_byte	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
90.0	0	0	1.0	116.9	3.886				
90.3	0	0	1.25	116.9	4.011				
90.6	0	0	1.375	116.9	4.207				
90.9	0	0	1.5	117.0	4.333				
91.2	0	0	1.625	117.0	4.458				
91.5	0	0	1.75	117.0	4.583				
91.8	0	0	1.875	117.2	4.71				
92.1	0	0	2.0	117.0	4.841				
92.4	0	0	2.25	117.2	4.967				
92.7	0	0	2.375	117.3	5.194				
93.0	0	0	2.5	117.3	5.341				
93.3	0	0	2.625	117.3	5.466				
93.6	0	0	2.75	117.1	5.592				
93.9	0	0	2.875	117.1	5.716				
94.2	0	0	3.0	117.2	5.84				
94.5	0	0	3.25	117.1	5.963				
94.8	0	0	3.375	117.1	6.201				
95.1	0	0	3.5	117.1	6.327				
95.4	0	0	3.625	117.3	6.452				
95.7	0	0	3.75	117.3	6.576				
96.0	0	0	3.875	117.3	6.709				
96.3	0	0	4.0	117.2	6.833				
96.6	0	0	4.25	117.3	6.959				
96.9	0	0	4.375	117.3	7.194				
97.2	0	0	4.5	117.9	7.325				
97.5	0	0	4.625	117.9	7.455				
97.8	0	0	4.75	117.9	7.579				
98.1	0	0	4.875	118.6	7.704				
98.4	0	0	5.0	117.9	7.829				
98.7	0	0	5.25	118.6	7.954				
99.0	0	0	5.375	119.1	8.206				
99.3	0	0	5.5	119.1	8.332				
99.6	0	0	5.625	119.1	8.457				
99.9	0	0	5.75	119.4	8.582				
100.2	0	0	5.875	119.4	8.706				
100.5	0	0	6.0	119.1	8.831				
100.8	0	0	6.25	120.3	8.957				
101.1	0	0	6.375	120.3	9.195				
101.4	0	0	6.5	120.3	9.327				
101.7	0	0	6.625	121.1	9.457				
102.0	0	0	6.75	121.1	9.582				
102.3	0	0	6.875	121.1	9.714				
102.6	0	0	7.0	120.7	9.838				
102.9	0	0	7.25	121.7	9.961				
103.2	0	0	7.375	121.7	10.201				
103.5	0	0	7.5	122.2	10.326				
103.8	0	0	7.625	122.2	10.451				
104.1	0	0	7.75	122.2	10.576				
104.4	0	0	7.875	122.2	10.706				
104.7	0	0	8.0	122.1	10.839				
105.0	0	0	8.25	122.7	10.965				
105.3	0	0	8.375	123.4	11.199				
105.6	0	0	8.5	123.4	11.337				
105.9	0	0	8.625	123.4	11.462				
106.2	0	0	8.75	123.4	11.587				
106.5	0	0	8.875	123.8	11.713				
106.8	0	0	9.0	123.4	11.839				
