z_pos	x_pos	y_pos	time	flux	err_byte	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
74.7	0	0	38.25	172.5	59.109				
75.0	0	0	38.5	173.3	59.36				
75.3	0	0	38.75	173.3	59.609				
75.6	0	0	39.0	173.1	59.859				
75.9	0	0	39.25	174.3	60.11				
76.2	0	0	39.5	174.3	60.36				
76.5	0	0	39.75	175.0	60.609				
76.8	0	0	40.0	174.6	60.858				
77.1	0	0	40.25	175.7	61.108				
77.4	0	0	40.5	175.7	61.356				
77.7	0	0	40.75	176.5	61.606				
78.0	0	0	41.0	176.3	61.857				
78.3	0	0	41.25	177.3	62.107				
78.6	0	0	41.5	177.8	62.357				
78.9	0	0	41.75	177.8	62.608				
79.2	0	0	42.0	177.9	62.858				
79.5	0	0	42.25	179.4	63.108				
79.8	0	0	42.5	179.4	63.358				
80.1	0	0	42.75	179.9	63.609				
80.4	0	0	43.0	179.6	63.858				
80.7	0	0	43.25	179.7	64.109				
81.0	0	0	43.5	179.7	64.36				
81.3	0	0	43.75	179.7	64.611				
81.6	0	0	44.0	179.7	64.86				
81.9	0	0	44.25	179.7	65.11				
82.2	0	0	44.5	179.8	65.359				
82.5	0	0	44.75	179.8	65.61				
82.8	0	0	45.0	179.7	65.859				
83.1	0	0	45.25	179.8	66.11				
83.4	0	0	45.5	179.8	66.36				
83.7	0	0	45.75	179.7	66.61				
84.0	0	0	46.0	179.7	66.86				
84.3	0	0	46.25	179.8	67.111				
84.6	0	0	46.5	179.8	67.362				
84.9	0	0	46.75	180.3	67.612				
85.2	0	0	47.0	180.0	67.862				
85.5	0	0	47.25	180.3	68.113				
85.8	0	0	47.5	180.3	68.362				
86.1	0	0	47.75	180.3	68.612				
86.4	0	0	48.0	180.2	68.861				
86.7	0	0	48.25	180.2	69.112				
87.0	0	0	48.5	180.1	69.362				
87.3	0	0	48.75	180.2	69.611				
87.6	0	0	49.0	180.1	69.862				
87.9	0	0	49.25	180.0	70.111				
88.2	0	0	49.5	180.0	70.361				
88.5	0	0	49.75	180.1	70.61				
88.8	0	0	50.0	180.0	70.861				
89.1	0	0	50.25	180.2	71.111				
89.4	0	0	50.5	180.2	71.362				
89.7	0	0	50.75	180.2	71.612	*			
